Province,Value,National
Xaysomboun,1.6,3.5
Oudomxay,1.7,3.5
Luangnamtha,1.8,3.5
Bokeo,1.9,3.5
Khammuane,2,3.5
Savannakhet,2.2,3.5
Sékong,2.2,3.5
Vientiane,2.4,3.5
Attapeu,2.4,3.5
Saravane,2.7,3.5
Xiengkhuang,2.9,3.5
Champasak,3,3.5
Huaphanh,4.1,3.5
Borikhamxay,4.8,3.5
Xayabury,5.1,3.5
Vientiane Capital,5.9,3.5
Luangprabang,6.5,3.5
Phongsaly,10,3.5
